tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen,retarget_age_ms,planner_event
0,0,right_shoulder_pitch,0.000400,0.080000,0.000400,0.080000,0.000400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.099600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.200000,1.100000,0.080000,12.000,1.000,0,0,0,tick
1,5,right_shoulder_pitch,0.000800,0.080000,0.000800,0.080000,0.000800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.099200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.400000,1.100000,0.080000,12.000,1.000,0,0,5,tick
2,10,right_shoulder_pitch,0.001200,0.080000,0.001200,0.080000,0.001200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.098800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.600000,1.100000,0.080000,12.000,1.000,0,0,10,tick
3,15,right_shoulder_pitch,0.001600,0.080000,0.001600,0.080000,0.001600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.098400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.800000,1.100000,0.080000,12.000,1.000,0,0,15,tick
4,20,right_shoulder_pitch,0.002000,0.080000,0.002000,0.080000,0.002000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.098000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,2.000000,1.100000,0.080000,12.000,1.000,0,0,20,tick
5,25,right_shoulder_pitch,0.002400,0.080000,0.002400,0.080000,0.002400,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.097600,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,2.200000,1.100000,0.080000,12.000,1.000,0,0,25,tick
6,30,right_shoulder_pitch,0.002800,0.080000,0.002800,0.080000,0.002800,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.097200,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,2.400000,1.100000,0.080000,12.000,1.000,0,0,30,tick
7,35,right_shoulder_pitch,0.003200,0.080000,0.003200,0.080000,0.003200,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.096800,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,2.600000,1.100000,0.080000,12.000,1.000,0,0,35,tick
8,40,right_shoulder_pitch,0.003600,0.080000,0.003600,0.080000,0.003600,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.096400,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,2.800000,1.100000,0.080000,12.000,1.000,0,0,40,tick
9,45,right_shoulder_pitch,0.004000,0.080000,0.004000,0.080000,0.004000,0.100000,0.100000,-0.850000,3.140000,0.010000,0,0.096000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,3.000000,1.100000,0.080000,12.000,1.000,0,0,45,tick
