tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
0,0,shoulder_pitch,0.000000,0.080000,0.000000,0.080000,0.000000,0.100000,0.010000,0,0.100000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
1,5,shoulder_pitch,0.002000,0.080000,0.002000,0.080000,0.002000,0.100000,0.010000,0,0.098000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
2,10,shoulder_pitch,0.004000,0.080000,0.004000,0.080000,0.004000,0.100000,0.010000,0,0.096000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
3,15,shoulder_pitch,0.006000,0.080000,0.006000,0.080000,0.006000,0.100000,0.010000,0,0.094000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
4,20,shoulder_pitch,0.008000,0.080000,0.008000,0.080000,0.008000,0.100000,0.010000,0,0.092000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
5,25,shoulder_pitch,0.010000,0.080000,0.010000,0.080000,0.010000,0.100000,0.010000,0,0.090000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
6,30,shoulder_pitch,0.012000,0.080000,0.012000,0.080000,0.012000,0.100000,0.010000,0,0.088000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
7,35,shoulder_pitch,0.014000,0.080000,0.014000,0.080000,0.014000,0.100000,0.010000,0,0.086000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
8,40,shoulder_pitch,0.016000,0.080000,0.016000,0.080000,0.016000,0.100000,0.010000,0,0.084000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
9,45,shoulder_pitch,0.018000,0.080000,0.018000,0.080000,0.018000,0.100000,0.010000,0,0.082000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
10,50,shoulder_pitch,0.020000,0.080000,0.020000,0.080000,0.020000,0.100000,0.010000,0,0.080000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
11,55,shoulder_pitch,0.022000,0.080000,0.022000,0.080000,0.022000,0.100000,0.010000,0,0.078000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
12,60,shoulder_pitch,0.024000,0.080000,0.024000,0.080000,0.024000,0.100000,0.010000,0,0.076000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
13,65,shoulder_pitch,0.026000,0.080000,0.026000,0.080000,0.026000,0.100000,0.010000,0,0.074000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
14,70,shoulder_pitch,0.028000,0.080000,0.028000,0.080000,0.028000,0.100000,0.010000,0,0.072000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
15,75,shoulder_pitch,0.030000,0.080000,0.030000,0.080000,0.030000,0.100000,0.010000,0,0.070000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
16,80,shoulder_pitch,0.032000,0.080000,0.032000,0.080000,0.032000,0.100000,0.010000,0,0.068000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
17,85,shoulder_pitch,0.034000,0.080000,0.034000,0.080000,0.034000,0.100000,0.010000,0,0.066000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
18,90,shoulder_pitch,0.036000,0.080000,0.036000,0.080000,0.036000,0.100000,0.010000,0,0.064000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
19,95,shoulder_pitch,0.038000,0.080000,0.038000,0.080000,0.038000,0.100000,0.010000,0,0.062000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
20,100,shoulder_pitch,0.040000,0.080000,0.040000,0.080000,0.040000,0.100000,0.010000,0,0.060000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
21,105,shoulder_pitch,0.042000,0.080000,0.042000,0.080000,0.042000,0.100000,0.010000,0,0.058000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
22,110,shoulder_pitch,0.044000,0.080000,0.044000,0.080000,0.044000,0.100000,0.010000,0,0.056000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
23,115,shoulder_pitch,0.046000,0.080000,0.046000,0.080000,0.046000,0.100000,0.010000,0,0.054000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
24,120,shoulder_pitch,0.048000,0.080000,0.048000,0.080000,0.048000,0.100000,0.010000,0,0.052000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
25,125,shoulder_pitch,0.050000,0.080000,0.050000,0.080000,0.050000,0.100000,0.010000,0,0.050000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
26,130,shoulder_pitch,0.052000,0.080000,0.052000,0.080000,0.052000,0.100000,0.010000,0,0.048000,Cruise,traj_vel,0.120000,1.200000,0.250000,0.010000,1.460000,1.100000,0.080000,12.000,1.000,0,0
