tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
0,0,right_shoulder_pitch,0.024161,0.000000,0.024273,0.022500,0.024273,1.484000,1.484000,-0.872665,3.141593,0.000113,0,1.459839,Accelerate,traj_vel,0.000900,0.059723,0.150000,0.045000,0.254723,-0.184944,0.022500,8.000,2.000,0,0
1,5,right_shoulder_pitch,0.024544,0.011985,0.024498,0.045000,0.024544,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.459456,Accelerate,traj_vel,0.000000,0.060671,0.150000,0.084007,0.294678,-0.086060,0.045000,8.000,2.000,0,0
2,10,right_shoulder_pitch,0.024928,0.023989,0.024836,0.067500,0.024928,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.459072,Accelerate,traj_vel,0.000000,0.061618,0.150000,0.118511,0.330130,0.100712,0.067500,8.000,2.000,0,0
3,15,right_shoulder_pitch,0.025695,0.047903,0.025286,0.090000,0.025695,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.458305,Accelerate,traj_vel,0.000000,0.063514,0.150000,0.143682,0.357196,0.280159,0.090000,8.000,2.000,0,0
4,20,right_shoulder_pitch,0.026462,0.047979,0.025848,0.112500,0.026462,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.457538,Accelerate,traj_vel,0.000000,0.065409,0.150000,0.173772,0.389181,0.355235,0.112500,8.000,2.000,0,0
5,25,right_shoulder_pitch,0.027996,0.076711,0.026523,0.135000,0.027996,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.456004,Accelerate,traj_vel,0.000000,0.069200,0.150000,0.193223,0.412424,0.388194,0.135000,8.000,2.000,0,0
6,30,right_shoulder_pitch,0.029913,0.119841,0.027311,0.157500,0.029913,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.454087,Accelerate,traj_vel,0.000000,0.073938,0.150000,0.197497,0.421436,0.457778,0.157500,8.000,2.000,0,0
7,35,right_shoulder_pitch,0.031447,0.095873,0.028211,0.180000,0.031447,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.452553,Accelerate,traj_vel,0.000000,0.077729,0.150000,0.223936,0.451665,0.349742,0.180000,8.000,2.000,0,0
8,40,right_shoulder_pitch,0.033748,0.143816,0.029223,0.202500,0.033748,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.450252,Accelerate,traj_vel,0.000000,0.083414,0.150000,0.231044,0.464458,0.410171,0.202500,8.000,2.000,0,0
9,45,right_shoulder_pitch,0.036049,0.143809,0.030348,0.225000,0.036049,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.447951,Accelerate,traj_vel,0.000000,0.089099,0.150000,0.247629,0.486727,0.466933,0.225000,8.000,2.000,0,0
10,50,right_shoulder_pitch,0.038351,0.143854,0.031586,0.247500,0.038351,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.445649,Accelerate,traj_vel,0.000000,0.094785,0.150000,0.271294,0.516079,0.474257,0.247500,8.000,2.000,0,0
11,55,right_shoulder_pitch,0.040652,0.143815,0.032936,0.270000,0.040652,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.443348,Accelerate,traj_vel,0.000000,0.100469,0.150000,0.300313,0.550782,0.547503,0.270000,8.000,2.000,0,0
12,60,right_shoulder_pitch,0.042186,0.095873,0.034398,0.292500,0.042186,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.441814,Accelerate,traj_vel,0.000000,0.104258,0.150000,0.357298,0.611556,0.690329,0.292500,8.000,2.000,0,0
13,65,right_shoulder_pitch,0.042953,0.047937,0.035973,0.315000,0.042953,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.441047,Accelerate,traj_vel,0.000000,0.106152,0.150000,0.435255,0.691407,0.567645,0.315000,8.000,2.000,0,0
14,70,right_shoulder_pitch,0.043720,0.047937,0.037661,0.337500,0.043720,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.440280,Accelerate,traj_vel,0.000000,0.108047,0.150000,0.504973,0.763019,0.624408,0.337500,8.000,2.000,0,0
15,75,right_shoulder_pitch,0.044487,0.047937,0.039461,0.360000,0.044487,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.439513,Accelerate,traj_vel,0.000000,0.109941,0.150000,0.568511,0.828452,0.688498,0.360000,8.000,2.000,0,0
16,80,right_shoulder_pitch,0.044103,-0.023969,0.041373,0.382500,0.044103,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.439897,Accelerate,traj_vel,0.000000,0.108994,0.150000,0.663368,0.922361,0.761744,0.382500,8.000,2.000,0,0
17,85,right_shoulder_pitch,0.044487,0.023968,0.043398,0.405000,0.044487,1.484000,1.484000,-0.872665,3.141593,0.000000,0,1.439513,Accelerate,traj_vel,0.000000,0.109941,0.150000,0.721792,0.981733,0.822169,0.405000,8.000,2.000,0,0
18,90,right_shoulder_pitch,0.044487,0.000000,0.045536,0.427500,0.045536,1.484000,1.484000,-0.872665,3.141297,0.001049,0,1.439513,Accelerate,traj_vel,0.008392,0.109941,0.150000,0.788844,1.048785,0.842310,0.427500,8.000,2.000,0,0
19,95,right_shoulder_pitch,0.044103,-0.023969,0.047786,0.450000,0.047786,1.484000,1.484000,-0.872665,3.139750,0.003683,0,1.439897,Accelerate,traj_vel,0.029460,0.108994,0.150000,0.862367,1.121361,0.996126,0.450000,8.000,2.000,0,0
20,100,right_shoulder_pitch,0.044103,0.000000,0.050148,0.472500,0.050148,1.484000,1.484000,-0.872665,3.138147,0.006045,0,1.439897,Accelerate,traj_vel,0.048360,0.108994,0.150000,0.916775,1.175769,1.005281,0.472500,8.000,2.000,0,0
21,105,right_shoulder_pitch,0.044487,0.023969,0.052623,0.495000,0.052623,1.484000,1.484000,-0.872665,3.136487,0.008137,0,1.439513,Accelerate,traj_vel,0.065092,0.109941,0.150000,0.956847,1.216788,1.052889,0.495000,8.000,2.000,0,0
